"";"sitio";"id_planta";"fruto";"fecha";"muestreo";"d1";"long";"pf_fr";"ps_fr";"pf_sem";"ps_sem";"d_sem";"l_sem";"p_36h_sem";"hilera";"planta";"d2";"diam_medio";"ps_cas"
"43";"los_sauces";"7_26";1;2022-12-20;1;40,5;47,4;41,84;7,472204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"44";"los_sauces";"7_26";2;2022-12-20;1;38,2;45,4;34,01;5,196806;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";"los_sauces";"7_26";3;2022-12-20;1;40,6;50,7;43,1;7,83836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";"los_sauces";"7_26";4;2022-12-20;1;40,3;47,5;40,49;7,079894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"47";"los_sauces";"7_26";5;2022-12-20;1;43;47,8;46,09;8,707254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"48";"los_sauces";"7_26";6;2022-12-20;1;41,9;49;46,13;8,718878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"49";"los_sauces";"10_4";1;2022-12-20;1;40,5;47,5;40,6;7,11186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"50";"los_sauces";"10_4";2;2022-12-20;1;40,6;47,3;41,5;7,3734;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"51";"los_sauces";"10_4";3;2022-12-20;1;40,4;43,1;36,15;5,81869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"52";"los_sauces";"10_4";4;2022-12-20;1;39,1;45,6;37,56;6,228436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"53";"los_sauces";"10_4";5;2022-12-20;1;40,7;46,6;38,68;6,553908;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"54";"los_sauces";"10_4";6;2022-12-20;1;41,4;45,6;44;8,0999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"55";"los_sauces";"10_6";1;2022-12-20;1;37,1;45,1;33,76;5,124156;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"56";"los_sauces";"10_6";2;2022-12-20;1;39,2;45,9;37,74;6,280744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"57";"los_sauces";"10_6";3;2022-12-20;1;41,4;47,2;42,16;7,565196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"58";"los_sauces";"10_6";4;2022-12-20;1;40,8;46;41,33;7,323998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"59";"los_sauces";"10_6";5;2022-12-20;1;40,1;45,1;38,16;6,402796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"60";"los_sauces";"10_6";6;2022-12-20;1;38,8;45,9;36,35;5,87681;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"61";"los_sauces";"5_12";1;2023-01-25;2;41,4;45,4;44,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"62";"los_sauces";"5_12";2;2023-01-25;2;45,4;51,9;58,18;NA;3,6;1,329;NA;NA;NA;NA;NA;NA;NA;NA
"63";"los_sauces";"5_12";3;2023-01-25;2;43,9;51,6;54,68;NA;5,4;1,744;NA;NA;NA;NA;NA;NA;NA;NA
"64";"los_sauces";"5_12";4;2023-01-25;2;43;49,5;50,37;NA;5,9;1,633;NA;NA;NA;NA;NA;NA;NA;NA
